시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
제주특별자치도,제주시,미용업,현대미용실,,"제주특별자치도 제주시 애월읍 애월리 1531, 1층",커트+드라이,10000,파마,30000,염색,25000,,
제주특별자치도,제주시,미용업,남이헤어샵,064-782-8288,"제주특별자치도 제주시 조천읍 신북로 229, 1층",헤어컷,15000,드라이,10000,파마,20000,,
제주특별자치도,제주시,미용업,오렌지헤어샵,064-782-0398,제주특별자치도 제주시 조천읍 함덕남12길 30,파마,30000,염색,25000,,,,
제주특별자치도,제주시,한식,옥이이모,0507-1465-4260,제주특별자치도 제주시 지석11길 13,된장찌개+비빔밥,8000,순대국+비빔밥,8000,,,,
제주특별자치도,제주시,미용업,신촌미용실,064-784-9656,제주특별자치도 제주시 조천읍 신촌5길 24,커트,7000,일반펌,20000,염색,25000,,
제주특별자치도,제주시,미용업,이경화미용실,064-721-3577,제주특별자치도 제주시 신성로 27(도남동),커트,8000,드라이,7000,펌(기본),25000,,
제주특별자치도,제주시,중식,블랙데이,064-758-3286,"제주특별자치도 제주시 만덕로 23-2, 1층(건입동)",자장면,4000,짬뽕,6000,볶음밥,6000,,
제주특별자치도,제주시,한식,오솔길,0507-1394-3663,"제주특별자치도 제주시 임항로 264, 1층",백돼지오겹살,12000,항정살,13000,목살,12000,,
제주특별자치도,제주시,기타요식업,쏠레일베이커리카페,064-900-2016,"제주특별자치도 제주시 번영로 508, 1층(봉개동)",아메리카노,2500,아이스 아메리카노,2800,해피쏠레일,2500,,
제주특별자치도,제주시,미용업,헤어스타일미용실,064-744-2204,제주특별자치도 제주시 비월길 7(연동),커트,13000,염색,20000,열펌,40000,,
제주특별자치도,제주시,미용업,코코헤어샵,064-746-0050,제주특별자치도 제주시 월랑로10길 29-1(노형동),커트,15000,펌,35000,,,,
제주특별자치도,제주시,한식,요메기섬현재식당,070-7778-3356,제주특별자치도 제주시 도두항길 10(도두일동),활우럭매운탕,12000,성게미역국,12000,전복죽,12000,,
제주특별자치도,제주시,중식,왕서방,064-713-0090,제주특별자치도 제주시 애월읍 중엄3길 2-1,짜장면,5500,짜장밥,6500,간짜장,7500,,
제주특별자치도,제주시,기타요식업,맠(makk),,제주특별자치도 제주시 진남로 6길 3(주소변경),마카롱,2000,마카롱6구,10000,마카롱9구,15000,,
제주특별자치도,제주시,한식,제주골목국수,064-722-0136,"제주특별자치도 제주시 신성로 42-1, 1층(도남동)",고기국수,7000,멸치국수,5000,,,,
제주특별자치도,제주시,기타비요식업,제주사진공방,,제주특별자치도 제주시 연신로 78(이도이동),증명사진,15000,여권사진,15000,비자사진,15000,,
제주특별자치도,제주시,한식,해림,064-757-7698,"제주특별자치도 제주시 남성로 12, 1층(용담일동)",된장찌개,8000,참치찌개,8000,순두부,8000,,
제주특별자치도,제주시,미용업,주헤어커커,064-756-7545,"제주특별자치도 제주시 남성로 8길 7, 1층(용담일동)",컷트(일반),10000,학생컷,8000,드라이,8000,,
제주특별자치도,제주시,세탁업,영일크리닝,064-725-0536,제주특별자치도 제주시 인다4길 37-7(아라일동),양복드라이클리닝,8000,셔츠,4000,,,,
제주특별자치도,제주시,숙박업,제주마실게스트하우스,064-753-0077,제주특별자치도 제주시 서광로2길 11-6(오라일동),남자6인실,18000,여자6인실,18000,더블1인,35000,,
제주특별자치도,제주시,한식,조은이웃구이집,064-748-1477,제주특별자치도 제주시 도령북길 1 (연동),오겹살,14000,목살,14000,열무국수,4000,,
제주특별자치도,제주시,기타비요식업,JJ노블휘트니스클럽,064-743-1515,"제주특별자치도 제주시 성신로 1길 34, 3층(연동, 신동부삼무3차아파트)",1일,10000,1개월,100000,2개월,140000,,
제주특별자치도,제주시,한식,만강촌옛날칼국수,064-744-4780,제주특별자치도 제주시 월랑로 42(노형동),닭칼국수,7900,닭곰탕,7900,왕만두 한접시(5개),7900,,
제주특별자치도,제주시,중식,푸동,064-711-4080,"제주특별자치도 제주시 원노형2길 22, 101호(노형동)",짜장면,4000,짬뽕,5000,,,,
제주특별자치도,제주시,중식,귀빈반점,064-749-3080,제주특별자치도 제주시 정원로 53-1(노형동),짜장면,5000,짬뽕,6000,,,,
제주특별자치도,제주시,한식,유별난수제생돈까스,064-713-7375,제주특별자치도 제주시 정원로 41(노형로),생돈까스,7000,해물볶음밥,7000,,,,
제주특별자치도,제주시,한식,영림흑돼지가든,064-796-6956,제주특별자치도 제주시 한림읍 한수풀로 30,"가브리살200g(백돼지,흑돼지섞임)",17000,양념갈비 350g(백돼지),15000,,,,
제주특별자치도,제주시,한식,돈야탑촌본점,070-7803-9292,"제주특별자치도 제주시 우정로 18길 7, 1층(외도일동)",양념갈매기(200g),14000,매콤갈매기(200g),14000,마늘갈매기(200g),15000,,
제주특별자치도,제주시,기타요식업,베이크,0507-1313-3109,제주특별자치도 제주시 우정로 60(외도일동),아메리카노,2900,에그타르트,2000,소금빵,2000,,
제주특별자치도,제주시,양식,제이학센,064-711-8616,"제주특별자치도 제주시 서해안로 232, 1층(도두일동)",한치해물토마토파스타,15000,딱새우크림파스타,15000,흑돼지로제파스타,15000,,
제주특별자치도,제주시,한식,제주주민센터,064-725-0030,제주특별자치도 제주시 무근성길 46 (삼도이동) .,김치찌개,8000,몸국,8000,돼지국밥,7000,,
제주특별자치도,제주시,한식,비양도식당,064-796-4030,제주특별자치도 제주시 한림읍 한림로 167,우럭조림(대),50000,갈치조림(대),50000,성게국,13000,,
제주특별자치도,제주시,한식,청춘테이블,064-757-4747,제주특별자치도 제주시 동문로 89,김치찌개,8000,된장찌개,8000,,,,
제주특별자치도,제주시,한식,뽈살집 한림점,064-796-5860,제주특별자치도 제주시 한림읍 한림상로 194,흑돼지 특수부위(대),69000,흑돼지 특수부위(중),45000,"항정, 가브리, 뽈살, 갈매기살(200g)",15000,,
제주특별자치도,제주시,한식,함덕닭해장국,064-782-9876,"제주특별자치도 제주시 조천읍 조천우회로 508, 1층",닭곰탕,8000,닭육계장,9000,닭몸국,9000,,
제주특별자치도,제주시,한식,한일동문식당,064-758-4614,"제주특별자치도 제주시 동문로 6-4, 1층(일도일동)",고기국수,6000,순대국밥,7000,따로국밥,8000,,
제주특별자치도,제주시,한식,착한제주고등어,064-725-5751,제주특별자치도 동문로 11길 5,고등어구이정식,6000,고등어조림,8000,갈치구이정식,11000,,
제주특별자치도,제주시,한식,동진,,제주특별자치도 제주시 동문로4길 9(일도일동),멸치국수,6000,비빔국수,7000,고기국수,8000,,
제주특별자치도,제주시,미용업,진희미용실,064-751-1128,제주특별자치도 제주시 동광로17길 27,커트,5000,파마,25000,,,,
제주특별자치도,제주시,한식,신산명성식당,064-755-6664,제주특별자치도 제주시 삼성로 94,명성정식,10000,,,,,,
제주특별자치도,제주시,미용업,금천미용실,064-758-9254,제주특별자치도 제주시 중앙로23길 6,커트,10000,파마,25000,,,,
제주특별자치도,제주시,한식,가람,064-756-0012,"제주특별자치도 제주시 복지로북길 4, 1층",추어탕,10000,고사리육개장,9000,닭칼국수,8000,,
제주특별자치도,제주시,숙박업,라인호텔,064-722-8161,제주특별자치도 제주시 동광로 40,더블객실(평일),50000,더블객실(주말),60000,트윈객실(평일),50000,,
제주특별자치도,제주시,한식,색달가든 깐부고깃집,064-751-4884,제주특별자치도 제주시 오복3길 20,"오겹살, 목살(200g)",9000,생대패삼겹살(200g),10000,오리 한마리,38000,,
제주특별자치도,제주시,한식,식도원,064-725-8669,"제주특별자치도 제주시 연삼로 498, 1층(이도이동)",한식뷔페,10000,,,,,,
제주특별자치도,제주시,기타비요식업,흑백컬러사진관,0507-1441-0397,"제주특별자치도 제주시 신성로 13길 26, 2층",가족사진2인(액자포함),120000,비자사진,20000,,,,
제주특별자치도,제주시,한식,파랑새,064-757-9475,제주특별자치도 제주시 도남로 78,고기국수,7000,비빔밥,7000,김치찌개,7000,,
제주특별자치도,제주시,일식,추자회소랑,064-725-5155,제주특별자치도 제주시 신설로9길 46-3(이도이동),활어회코스A(1인),40000,활어회코스B(1인),30000,,,,
제주특별자치도,제주시,한식,장모식탁,064-805-7158,"제주특별자치도 제주시 연신로 51, 1층",전복돌솥밥+순두부찌개,15000,곤드레돌솥밥+순두부찌개,11000,,,,
제주특별자치도,제주시,숙박업,제주스테이,064-755-7945,제주특별자치도 제주시 무근성7길 22(삼도이동),스탠다드더블룸,38000,스탠다드트윈룸,40000,디럭스트윈룸,43000,,
제주특별자치도,제주시,한식,김희선제주두루치기,064-747-1147,"제주특별자치도 제주시 어영길 19, 1층",흑돼지두루치기+소고기된장찌개,12000,,,,,,
제주특별자치도,제주시,한식,정든식당,064-713-5116,제주특별자치도 제주시 진동로3길 24,국밥,8000,따로국밥,9000,,,,
제주특별자치도,제주시,미용업,또와헤어샾,064-756-6528,제주특별자치도 제주시 지석6길 9,커트,10000,일반펌,25000,,,,
제주특별자치도,제주시,일식,진양,064-757-8238,"제주특별자치도 제주시 건주로6길 14-7, 1층 102호(도련일동, 자운당)",모듬회(소),25000,모듬초밥(10p),13000,광어초밥(10p),15000,,
제주특별자치도,제주시,한식,안평,064-755-1170,"제주특별자치도 제주시 선사로6길 15, 1층(삼양일동)",순두부찌개,8000,새우젓 두부찌개,8000,,,,
제주특별자치도,제주시,한식,오리한마당 봉개점,064-757-5153,"제주특별자치도 제주시 봉개대동6길5-6, 1층",유황오리한마리,59000,유황오리반마리,30000,훈제오리한마리,59000,,
제주특별자치도,제주시,미용업,미앤유,0507-1325-0756,제주특별자치도 제주시 인다8길 28,남자커트,10000,여자커트,12000,일반펌,35000,,
제주특별자치도,제주시,한식,남촌식당,064-753-1502,제주특별자치도 제주시 서광로 174,멸치국수,6000,고기국수,7000,,,,
제주특별자치도,제주시,기타비요식업,헬로우휘트니스,,"제주특별자치도 제주시 월랑로8길 1, 301호(노형동, 아란야플라자)",1일권,10000,3개월,99000,6개월,180000,,
제주특별자치도,제주시,한식,김도희의 갈치창고,064-712-1802,"제주특별자치도 제주시 노형로 121, 2층",가마솥갈치조림(2인),43000,가마솥갈치조림+화덕통갈치구이정식(2인),65000,갈치강정(100g),10000,,
제주특별자치도,제주시,기타요식업,본조르노베이커리,0507-1413-3473,"제주특별자치도 제주시 다랑곶 4길 68, 1층",프렌치 바게트,2500,치아바타,2700,스콘,2400,,
제주특별자치도,제주시,한식,황금숯불닭갈비,064-746-0745,제주특별자치도 제주시 월랑로 10길 25(노형동),닭소금구이(320g),14000,닭양념구이(320g),14000,생오겹살(200g),16000,,
제주특별자치도,제주시,한식,보리해장국,064-745-5052,"제주특별자치도 제주시 우령서로16길 2, 1층",해장국,9000,곰탕,10000,,,,
제주특별자치도,제주시,한식,올래회어촌 제주이호테우점,0507-1328-2992,제주특별자치도 제주시 태우해안로 166,회정식,15000,해물뚝배기,10000,회모둠세트,100000,,
제주특별자치도,제주시,한식,제주몰래물밥상,064-711-8919,제주특별자치도 제주시 도두항서길 65(도두일동),활우럭조림밥상(2-3인),48000,"활우럭, 전복새우조림밥상(2-3인)",58000,제주은갈치조림밥상(2-3인),60000,,
제주특별자치도,제주시,한식,제라진뚝배기갈비찜,064-711-6232,"제주특별자치도 제주시 도공로 20, 1층",뚝배기갈비찜,11000,정식,10000,두루치기,10000,,
제주특별자치도,제주시,한식,춘향이네,064-712-4064,"제주특별자치도 제주시 오일장동길 36, 1층(도두일동)",장터순대국밥,7000,내장국밥,7000,머리국밥,7000,,
제주특별자치도,제주시,한식,제주라면2호점,064-747-9666,"제주특별자치도 제주시 서해안로 210, 1층(도두일동)",해물라면,7500,흑돼지라면,7500,멍게비빔밥,10000,,
제주특별자치도,제주시,양식,고찌가게,,제주특별자치도 제주시 가령로4길 27 (이도이동) 1층 101호,함박스테이크,7000,오므라이스,6000,카레라이스,6000,,
제주특별자치도,제주시,미용업,소영헤어샵,064-759-0905,제주특별자치도 제주시 신성로 62 (도남동) 1층,컷트,8000,펌,30000,,,,
제주특별자치도,제주시,한식,꽃가마식당,064-755-6454,제주특별자치도 제주시 신산로 97 (일도이동) 1층,갈비탕,10000,성게국,10000,,,,
제주특별자치도,제주시,한식,동광생오리집,064-752-1129,제주특별자치도 제주시 태성로2길 32 (일도이동) 1층,동광생오리 한마리,58000,동광생오리 반마리,30000,,,,
제주특별자치도,제주시,미용업,린다,,제주특별자치도 제주시 천수로 5 (이도이동) 1층,속눈썹 연장,30000,기본 젤 네일,30000,,,,
제주특별자치도,제주시,한식,만나빵집,,제주특별자치도 제주시 구좌읍 종달로5길 5-1 1층,반미바게트,2500,소세지빵,3500,,,,
제주특별자치도,제주시,미용업,머리터헤어샵,064-723-0677,제주특별자치도 제주시 삼성로 81 (일도이동) 1층,남녀커트,12000,학생커트,10000,드라이,10000,염색,30000
제주특별자치도,제주시,미용업,메자미헤어,064-751-3330,제주특별자치도 제주시 신산로7길 41 (일도이동) 1층,파마,25000,컷트,8000,샴푸,5000,올림머리,30000
제주특별자치도,제주시,숙박업,민트게스트하우스,064-721-0106,제주특별자치도 제주시 서광로5길 2-4 (용담일동) 1층,2인실 1인,28000,6인실 1인,23000,,,,
제주특별자치도,제주시,기타요식업,밭담호박,,제주특별자치도 제주시 한경면 두신로 45 1층,쑥밥알인절미,1200,현미쑥인절미,1200,카스테라인절미,4000,오메기떡,1000
제주특별자치도,제주시,기타요식업,붕어빵n커피,064-753-4416,제주특별자치도 제주시 서광로 174 (오라일동) 1층,오디에이드,4400,영귤에이드,4400,,,,
제주특별자치도,제주시,한식,생돈우리본점,,제주특별자치도 제주시 수덕9길 85 (노형동) 1층,흑돼지김치찌개,8000,차돌된장찌개,8000,,,,
제주특별자치도,제주시,미용업,샤인루비헤어샵,,제주특별자치도 제주시 동광로21길 27-1 (일도이동) 1층,컷트,13000,학생컷트,11000,펌,33000,,
제주특별자치도,제주시,숙박업,숨게스트하우스 제주공항점,064-725-0106,제주특별자치도 제주시 서광로5길 2-2 (용담일동) 1층,2인실 1인,28000,4인실 1인,25000,6인실 1인,23000,,
제주특별자치도,제주시,양식,스토브온 제주,064-796-9871,제주특별자치도 제주시 한림읍 중산간서로 4062 나동 1층,마리나라 피자,7000,더블치즈 피자,9000,포테이토베이컨,10000,오리지날 피자,8000
제주특별자치도,제주시,한식,애월바당국수,064-799-0427,제주특별자치도 제주시 애월읍 애월해안로 34 1층,고기국수,8000,멸고국수,8000,멸치국수,7000,냉국수,8000
제주특별자치도,제주시,미용업,제이앤제이헤어살롱,064-753-4761,제주특별자치도 제주시 진군4길 12 (노형동) 1층,커트,12000,일반 펌,40000,,,,
제주특별자치도,제주시,한식,차가네시청점,064-721-3320,제주특별자치도 제주시 동광로2길 7 (이도이동) 1층,갈비탕,12000,냉면정식,10000,오늘매뉴,7000,,
제주특별자치도,제주시,미용업,케이엠제이헤어,,제주특별자치도 제주시 과원북4길 37 (노형동) 1층,커트,10000,염색,40000,파마,40000,셋팅,60000
제주특별자치도,제주시,한식,평대당,,제주특별자치도 제주시 구좌읍 구좌로 29-1 1층,휘낭시에,1500,마들렌,1800,,,,
제주특별자치도,제주시,미용업,하라,064-727-1319,제주특별자치도 제주시 아연로 587 (아라일동) 1동 101호,두피크리닉,40000,모발크리닉,50000,다운펌,40000,,
제주특별자치도,제주시,중식,하이루,064-784-8744,제주특별자치도 제주시 조천읍 함덕12길 6 1층,짜장면,6000,짬뽕,8000,미니탕수육,10000,,
제주특별자치도,제주시,미용업,호화미용실,064-757-0616,제주특별자치도 제주시 신산로15길 38 (일도이동) 1층,컷트(80세이상),5000,파마(80세이상),15000,컷트(일반인),10000,파마,20000
제주특별자치도,제주시,기타비요식업,흑백컬러사진관 제주도청점,,제주특별자치도 제주시 문송길 18 (연동) 2층,프로필사진,30000,비자사진,20000,,,,
제주특별자치도,제주시,미용업,단밤미용실,,제주특별자치도 제주시 과원로 47 (연동) 1층 단밤,컷트,15000,염색,30000,퍼머,40000,,
제주특별자치도,제주시,한식,일구교자,,제주특별자치도 제주시 광양13길 22 (이도이동) 1층,고기 찐만두,6000,김치 찐만두,6000,,,,
제주특별자치도,제주시,일식,일락,,"제주특별자치도 제주시 독짓골4길 11 (도남동, 청양림맨션) 101호",돈코츠라멘,7000,가츠동,7000,규동,7000,가라아게동,7000
제주특별자치도,제주시,한식,고산동산,,제주특별자치도 제주시 고산동산5길 18 (이도이동) 1층,정식,8000,,,,,,
제주특별자치도,제주시,한식,국수한상,064-751-5808,제주특별자치도 제주시 남광로 7 (이도이동) 국수한상,멸치국수,7000,비빔국수,7000,우거지국,8000,제육덮밥,8000
제주특별자치도,제주시,한식,도남오거리 외도점,064-743-9255,제주특별자치도 제주시 우정로7길 26-3 (외도일동) 도남오거리식당,돼지양념갈비,14000,돼지생갈비,21000,,,,
제주특별자치도,제주시,한식,동광로꼴목집,,제주특별자치도 제주시 동광로8길 35-12 (이도이동) 1층,삼겹살(800g),25000,양념갈비(800g),25000,우삼겹(800g),25000,물냉면,8000
제주특별자치도,제주시,세탁업,명원세탁,064-728-8855,제주특별자치도 제주시 구남동6길 58-3 (이도이동) 명원세탁,양복1벌,11000,와이셔츠,5000,바지,5000,,
제주특별자치도,제주시,기타요식업,모닝 베이커리,064-756-3810,제주특별자치도 제주시 번영로 504 (봉개동) 모닝 베이커리,옥수수 식빵,4000,잡곡식빵,4000,소보루빵,1200,단팥빵,1200
제주특별자치도,제주시,한식,서가도녹차삼계탕,064-902-9727,제주특별자치도 제주시 동한두기길 1 (용담일동) .,,,,,,,,
제주특별자치도,제주시,중식,양사부,,제주특별자치도 제주시 삼무로 36 (연동) 2층,양꽃갈비살,18800,마파두부,8800,,,,
제주특별자치도,제주시,한식,에버그린돈까스,064-799-1434,제주특별자치도 제주시 애월읍 애월로 40 1층,옛날돈까스,11000,자연치즈돈까스,12000,어묵우동,9000,,
제주특별자치도,제주시,기타비요식업,"연동사진관,연관",0507-1408-0744,제주특별자치도 제주시 애월읍 애월로 40 1층,퀵여권사진,15000,퀵증명사진,15000,퍼스널프로필,50000,,
제주특별자치도,제주시,한식,옵데강,064-758-5775,제주특별자치도 제주시 신산로3길 1 (일도이동) 옵데강,흑오겹,20000,생갈비,20000,뼈양념갈비,18000,살양념갈비,16000
제주특별자치도,제주시,숙박업,우신장,064-724-0905,제주특별자치도 제주시 관덕로4길 1-5 (삼도이동) 우신장,,,,,,,,
제주특별자치도,제주시,목욕업,유니나 목욕탕,064-742-2141,제주특별자치도 제주시 은남4길 4 (연동) .,,,,,,,,
제주특별자치도,제주시,한식,이모네국수,0507-1488-5689,제주특별자치도 제주시 신산로 42 (일도이동) .,,,,,,,,
제주특별자치도,제주시,한식,제대국수집,,제주특별자치도 제주시 제주대학로 105-1 (아라이동) 1층,멸치국수,5500,비빔국수,6500,멸치국수돈까스,9000,꼬마돈까스,4000
제주특별자치도,제주시,한식,제돈상회,064-713-0301,제주특별자치도 제주시 월랑로4길 28 (노형동) 제돈상회,제주오겹살(300g),20000,제주목살(300g),20000,생대패삼겹살(300g),22000,,
제주특별자치도,제주시,한식,제주검정보리마씸,064-746-4597,제주특별자치도 제주시 애월읍 하귀로 81 1층,,,,,,,,
제주특별자치도,제주시,숙박업,제주공항 게스트하우스 예스준,,제주특별자치도 제주시 서해안로 232 (도두일동) 2층,오션뷰A 개인실,35000,오션뷰A 2인실,55000,오션뷰B 개인실,45000,오션뷰A Family,65000
제주특별자치도,제주시,한식,진도새기,064-712-7766,제주특별자치도 제주시 광평동로 67 (노형동) 진도새기,흑돼지 한 근,60000,백돼지 한 근,48000,,,,
제주특별자치도,제주시,일식,추자본섬 연동점,064-747-1115,제주특별자치도 제주시 선덕로 14-1 (연동) 1층,삼치회(소),70000,삼치회(대),90000,C코스(1인당),35000,B코스(1인당),45000
제주특별자치도,제주시,기타요식업,카페인사리,0507-1414-8675,제주특별자치도 제주시 구좌읍 일주동로 2806 2층,버터프레첼,3000,까눌레,2000,,,,
제주특별자치도,제주시,한식,한라산해장국,064-748-8500,제주특별자치도 제주시 은남길 25 (연동) 한라산해장국,해장국,10000,돈까스,9000,소머리국밥,10000,순대국밥,10000
제주특별자치도,제주시,한식,함덕해물라면오빠집,064-784-6327,제주특별자치도 제주시 조천읍 평사길 2 1층,,,,,,,,
제주특별자치도,제주시,중식,금악리 자양식당,,제주특별자치도 제주시 한림읍 금악리 18(금악리 자양식당),닭짬뽕,9000,닭탕수육,15000,,,,
제주특별자치도,제주시,한식,한라축산정육식당제주흑돼지한림협재애월점,064-796-1010,"제주특별자치도 제주시 한림읍 한림상로 84, B동 1층",제주산흑돼지오겹살,6800,제주산흑돼지목살,6800,한우갈비살,14900,한우등심,15900
제주특별자치도,제주시,한식,일등정육식당,064-796-4547,제주특별자치도 제주시 한림읍 한림상로 145,흑돈두루치기정식,9000,해물된장찌개,8000,흑돈김치찌개,8000,흑오겹구이(200g),11000
제주특별자치도,제주시,한식,한림국수집,064-796-7471,"제주특별자치도 제주시 한림읍 한림상로 158, 1층",멸치국수,6000,비빔국수,6000,돼지국밥,8000,,
제주특별자치도,제주시,한식,일억조,,"제주특별자치도 제주시 한림읍 한림상로 140, 1층",접짝뼈국,10000,일억조짜글이,10000,할망산적,10000,뼈전골 (1인분),13000
제주특별자치도,제주시,한식,윤정이네국밥,064-796-5955,"제주특별자치도 제주시 한림읍 중산간서로 4960, 1층",돼지국밥,9000,순대국밥,9000,고기국수,9000,콩국수,10000
제주특별자치도,제주시,한식,강김밥집,064-711-5096,"제주특별자치도 제주시 애월읍 하귀9길 2, 1층 114호",강김밥,2900,치즈김밥,3800,우엉김밥,3800,멸치김밥,3800
제주특별자치도,제주시,한식,호두네칼국수,064-902-9959,"제주특별자치도 제주시 애월읍 하귀로 57, 1층",호두네칼국수,7000,들깨칼국수,8000,어묵칼국수,8000,얼큰칼국수,8000
제주특별자치도,제주시,한식,두툼한고기돈돼지 제주함덕점,064-784-9092,"제주특별자치도 제주시 조천읍 함덕19길 3, 1층",흑돼지목살,20000,흑돼지오겹살,20000,백돼지목살,16000,백돼지오겹살,16000
제주특별자치도,제주시,일식,김녕오라이(구좌),064-747-8174,"제주특별자치도 제주시 구좌읍 김녕로21길 21, 21 1층 제2호",숯불 가마살구이,20000,딱새우라면,12000,,,,
제주특별자치도,제주시,한식,비자림길,064-782-5118,제주특별자치도 제주시 구좌읍 비자림로 2682,흑돼지 고등어 정식,10000,우럭 정식,14000,고등어 조림 中,30000,갈치 조림 中,45000
제주특별자치도,제주시,중식,하오츠,064-784-0098,"제주특별자치도 제주시 조천읍 북촌12길 33-3, 2층",짜장,5000,볶음밥,7000,짬뽕,6000,간짜장,7000
제주특별자치도,제주시,한식,우당도서관 구내식당,,"제주특별자치도 제주시 사라봉동길 30, 1층(건입동)",콩나물국밥,5000,비빔국수,4500,황태국밥,6500,제육덮밥,6500
제주특별자치도,제주시,기타비요식업,블루미디어,,"제주특별자치도 제주시 동문로 93, 지하(건입동)",증명사진,20000,여권사진,20000,"학생증명사진(영,유아 ~ 대학재학생)",20000,,
제주특별자치도,제주시,숙박업,보보스모텔,,제주특별자치도 제주시 서부두남길 20(건입동),디럭스더블룸,40000,디럭스트윈룸,50000,,,,
제주특별자치도,제주시,한식,오륙도식당,064-758-7440,제주특별자치도 제주시 관덕로15길 10(일도일동),해물뚝배기,9000,냉면,7000,,,,
제주특별자치도,제주시,한식,동문시장 고기국수 금복식당,064-757-6055,"제주특별자치도 제주시 동문로 16, 1층",고기국수,8000,비빔국수,7000,멸치국수,6000,,
제주특별자치도,제주시,숙박업,제주공항근처 난장게스트하우스,,제주특별자치도 제주시 중앙로5길 13(일도일동),1인실,30000,2인실 도미토리,25000,,,,
제주특별자치도,제주시,숙박업,농땡이 연구소,,"제주특별자치도 제주시 중앙로 49, 4층(일도일동,대영빌딩)",숙박(1박),23000,,,,,,
제주특별자치도,제주시,한식,태산봉,064-721-3399,제주특별자치도 제주시 성지로 67-1(일도일동),해장국,10000,양곰탕,11000,,,,
제주특별자치도,제주시,한식,신해바라기제2호점,064-702-2324,"제주특별자치도 제주시 신산로 67 1층, 신해바라기제2호점",국수,5000,비빔국수,5000,,,,
제주특별자치도,제주시,기타비요식업,탑클래스스터디,064-753-1110,"제주특별자치도 제주시 동광로 108, 3층",일일권(4시간),3500,일일권(12시간),7000,,,,
제주특별자치도,제주시,양식,라라양식당,,"제주특별자치도 제주시 동광로 197, 1층 102호",크림 라이스,10900,오늘의 파스타,11900,,,,
제주특별자치도,제주시,한식,남현순대,064-751-3374,"제주특별자치도 제주시 천수로 56, 108동 102호",몸국,9000,멸치국수,7000,냉국수,7000,,
제주특별자치도,제주시,미용업,네일에 머물다,,"제주특별자치도 제주시 천수로 68, 113동 1층 101호",손젤,30000,페디큐어,40000,속눈썹 연장,30000,속눈썹 펌,30000
제주특별자치도,제주시,미용업,이애란헤어샵,064-724-0090,제주특별자치도 제주시 고마로 58,컷트,8000,파마,25000,,,,
제주특별자치도,제주시,한식,삼주칼국수,064-756-8892,제주특별자치도 제주시 일도이동 47 삼주아파트상가 108동 103호,멸치칼국수,7500,닭고기칼국수,8000,김치찌개,8000,,
